CO2,Radiation,diameter,humidity,outside_temperature,inside_temperature,measurement,Yield
42.52,23.85,28.49,0.77,42.52,28.67,10.0,40.8
38.04,20.44,26.17,0.75,41.33,26.09,10.0,40.8
58.03,30.77,38.15,0.76,58.03,37.68,10.0,13.2
58.03,30.92,38.18,0.76,58.03,37.71,10.0,13.2
56.26,33.29,39.51,0.8,56.26,38.96,9.99,13.2
57.05,32.59,39.22,0.78,57.05,39.06,10.0,13.2
56.33,33.48,39.46,0.79,56.33,38.69,9.97,13.2
56.51,33.82,39.78,0.8,56.51,39.0,9.99,13.2
61.67,27.28,29.3,0.57,61.67,34.74,10.0,54.1
61.83,28.25,29.58,0.57,61.83,35.17,10.0,54.1
61.75,26.91,29.17,0.57,61.75,34.13,10.0,54.1
62.1,31.17,32.96,0.63,62.1,36.46,10.0,41.7
61.42,32.66,35.21,0.67,61.42,37.73,10.0,41.7
61.36,32.77,35.23,0.67,61.36,37.95,10.0,41.7
61.49,30.22,33.03,0.64,61.49,36.27,10.0,41.7
61.33,32.04,35.24,0.68,61.33,37.09,10.0,41.7
61.53,30.22,34.62,0.69,61.53,35.8,10.0,41.7
63.05,16.78,22.83,0.58,63.05,25.27,9.83,28.2
62.82,16.76,22.49,0.57,62.82,25.41,9.85,28.2
62.84,16.76,22.57,0.57,62.84,25.39,9.84,28.2
62.8,16.64,22.65,0.57,62.8,25.42,9.83,28.2
61.63,16.42,23.45,0.6,61.63,25.38,9.78,28.2
61.63,16.29,23.36,0.6,61.63,25.24,9.78,28.2
57.31,31.61,34.6,0.65,57.31,35.89,9.96,43.1
65.08,34.2,39.55,0.66,65.08,37.45,10.0,72.2
65.19,34.83,42.97,0.74,65.19,38.67,9.92,37.6
65.77,34.89,43.84,0.74,65.77,39.88,9.92,37.6
65.5,36.15,42.94,0.72,65.5,40.38,9.97,37.6
65.88,34.73,44.22,0.76,65.88,39.15,9.84,37.6
65.37,33.09,43.99,0.78,65.37,37.56,9.85,37.6
65.39,33.39,44.04,0.78,65.39,37.84,9.85,37.6
59.8,29.83,36.66,0.72,59.8,36.48,10.0,10.6
57.49,32.86,38.96,0.78,57.49,38.64,10.0,10.6
60.97,29.73,35.87,0.7,60.97,35.59,9.99,10.6
60.86,29.89,35.99,0.71,60.86,35.73,9.99,10.6
58.94,31.77,37.92,0.76,58.94,37.3,9.99,10.6
57.36,33.15,39.11,0.79,57.36,38.0,10.0,10.6
65.64,34.01,41.11,0.72,65.64,38.99,9.84,11.2
65.6,33.61,40.7,0.72,65.6,38.52,9.86,11.2
65.75,32.66,39.96,0.71,65.75,38.16,9.87,11.2
65.33,32.4,39.98,0.72,65.33,37.26,9.75,11.2
65.66,34.15,41.2,0.72,65.66,39.13,9.84,11.2
65.68,34.3,41.32,0.72,65.68,39.31,9.84,11.2
56.78,26.15,28.87,0.67,56.78,27.24,9.96,34.2
56.22,27.8,29.27,0.69,56.22,27.8,9.96,34.2
56.25,27.81,29.24,0.69,56.25,27.81,9.96,34.2
56.42,27.58,29.11,0.68,56.42,27.61,9.96,34.2
56.54,27.09,29.04,0.68,56.54,27.49,9.96,34.2
56.05,28.05,29.4,0.69,56.05,28.05,9.97,34.2
63.28,31.1,32.06,0.61,63.28,35.93,9.98,11.6
62.83,31.38,32.58,0.62,62.83,35.87,10.0,11.6
62.83,31.31,32.72,0.62,62.83,35.69,10.0,11.6
63.24,31.15,32.06,0.61,63.24,36.07,9.98,11.6
63.2,31.26,32.02,0.61,63.2,36.11,9.98,11.6
63.37,33.89,33.64,0.62,63.37,36.49,9.98,11.6
54.77,26.09,29.82,0.65,54.77,31.09,9.87,44.8
55.3,25.33,29.56,0.65,55.3,30.35,9.81,44.8
55.02,26.44,29.85,0.65,55.02,31.34,9.8,44.8
55.27,25.21,29.55,0.65,55.27,30.27,9.81,44.8
55.19,25.59,29.66,0.65,55.19,30.57,9.83,44.8
55.14,25.52,29.67,0.65,55.14,30.54,9.83,44.8
36.43,26.19,29.82,0.86,36.43,31.58,4.55,35.3
36.39,26.28,29.74,0.85,36.39,31.58,4.64,35.3
36.5,26.26,29.81,0.85,36.5,31.58,4.63,35.3
36.05,25.82,29.88,0.86,36.05,31.51,4.17,35.3
36.35,25.78,29.96,0.86,36.35,31.41,4.3,35.3
34.2,25.83,29.96,0.86,36.37,31.43,4.32,35.3
67.75,39.7,46.89,0.78,67.75,42.59,9.43,9.0
67.82,39.93,46.84,0.77,67.82,42.75,9.48,9.0
67.61,39.49,47.01,0.78,67.61,42.43,9.36,9.0
67.8,39.94,46.94,0.77,67.8,42.81,9.48,9.0
62.87,21.55,27.18,0.6,62.87,28.16,9.96,32.8
62.87,21.41,27.26,0.61,62.87,28.09,9.97,32.8
63.16,19.51,26.78,0.62,63.16,26.97,9.97,32.8
62.99,19.39,27.46,0.63,62.99,26.68,9.98,32.8
62.95,19.58,27.78,0.64,62.95,26.79,9.98,32.8
62.99,19.25,27.51,0.64,62.99,26.54,9.98,32.8
57.76,30.76,34.32,0.69,57.76,35.95,9.88,32.8
58.23,30.78,35.01,0.7,58.23,35.01,9.82,32.8
58.11,31.69,35.11,0.7,58.11,35.43,9.84,32.8
58.1,31.66,35.07,0.7,58.1,35.45,9.85,32.8
58.1,31.66,35.07,0.7,58.1,35.45,9.85,32.8
58.12,31.71,35.13,0.7,58.12,35.42,9.84,32.8
63.8,15.36,25.64,0.61,63.8,23.23,9.96,19.9
63.46,15.13,25.93,0.62,63.46,23.02,9.96,19.9
63.91,16.05,25.58,0.62,63.91,23.69,9.9,19.9
63.84,15.88,25.68,0.62,63.84,23.61,9.92,19.9
63.82,15.47,25.64,0.62,63.82,23.23,9.94,19.9
63.31,15.71,26.14,0.63,63.31,23.61,9.95,19.9
67.27,22.97,29.97,0.62,67.27,28.95,9.99,10.2
65.24,24.59,30.98,0.62,65.24,31.54,9.98,10.2
65.11,24.75,30.97,0.61,65.11,31.88,9.99,10.2
66.04,24.33,30.73,0.63,66.04,30.67,9.98,10.2
66.14,24.21,30.65,0.63,66.14,30.52,9.98,10.2
66.18,24.13,30.59,0.62,66.18,30.43,9.98,10.2
63.99,37.79,43.75,0.74,63.99,41.13,9.36,54.9
